prop_name,prop_type,street,zipcode,bathroom,bedroom
Romantic Marina Garden Studio,Apartment,"Lombard St, San Francisco, CA 94123, United States",94123,1,1
Roomy Family-Friendly Garden Studio,House,"Vallejo Street, San Francisco, CA 94123, United States",94123,1,1
Huge Private Room w/Queen Bed and Sofa Sleeper,Condominium,"Union Street, San Francisco, CA 94123, United States",94123,2,1
Sunny/Spacious Apt. on Union St,Apartment,"Union Street, San Francisco, CA 94123, United States",94123,1,3
3 floor Marina Apartment with Private Roof Deck!,Apartment,"Filbert Street, San Francisco, CA 94123, United States",94123,1,1
Charming Marina District Apartment ,Apartment,"Union Street, San Francisco, CA 94123, United States",94123,1,1
Private Bedroom in Marina Mansion,Apartment,"Green Street, San Francisco, CA 94123, United States",94123,1,1
Just Like Home 1 Bedroom Marina House,House,"Greenwich Street, San Francisco, CA 94123, United States",94123,1,1
Victorian Style 1 Bedroom Near Palace of Arts,Apartment,"Broderick Street, San Francisco, CA 94123, United States",94123,1,1
Heart of the Marina...Bars/Restaurants,Apartment,"Filbert Street, San Francisco, CA 94123, United States",94123,1,0
Large Pacific Heights Master Bedroom,House,"Green St, San Francisco, CA 94123, United States",94123,4,1
Hotel Pac Hgts 2 Bed Free Car ParkD,Bed & Breakfast,"Union Street, San Francisco, CA 94123, United States",94123,1,1
Master Bedroom In Marina District,Apartment,"Broderick Street and Francisco, San Francisco, CA 94123, United States",94123,1,1
Large 1 bedroom in the Marina!,Condominium,"Steiner Street, San Francisco, CA 94123, United States",94123,1,1
Two Bedroom in Heart of the Marina,Apartment,"Greenwich Street, San Francisco, CA 94123, United States",94123,1,2
Charming Cow Hollow Apartment,Apartment,"Filbert Street, San Francisco, CA 94123, United States",94123,1,1
Spectacular Marina Waterfront Views,Condominium,"Fillmore Street, San Francisco, CA 94123, United States",94123,2,2
Contemporary STUDIO in the Marina,House,"Magnolia Street, San Francisco, CA 94123, United States",94123,1,0
High End Luxury Superbowl Apartment,Apartment,"San Francisco, CA, United States",,2,3
Gorgeous Marina Houselike Condo,Condominium,"Webster Street, San Francisco, CA 94123, United States",94123,3,4
Modern Apartment w/ Roofdeck Grill,Apartment,"Lombard Street, San Francisco, CA 94123, United States",94123,1,1
The Marina Suite,Apartment,"Scott Street, San Francisco, CA 94123, United States",94123,1,1
Cozy Cow Hollow Two Bedroom Getaway,House,"Filbert Street,  San Francisco, CA 94123, United States",94123,1,2
Spacious 1BD/1BA with backyard near San Bruno St,House,"Salinas Avenue, San Francisco, CA 94124, United States",94124,1,1
#105 Private Room in Hostel-Style House in Bayview,House,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
"Classic, Clean and Comfortable",House,"Orsi Cir, San Francisco, CA 94124, United States",94124,1,1
Comfortable room in house,House,"Mendell St, San Francisco, CA 94124, United States",94124,1,1
Beautiful Charming Garden Hideaway,Bed & Breakfast,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1,1
"Huge Beauty, 2 Beds, Luxurious Bath & Free Parking",House,"Underwood Ave, San Francisco, CA 94124, United States",94124,1,1
#102  Private Room in Hostel-Style house,House,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
amazing view of SF Bay & Breakfast,Bed & Breakfast,"Jakey Ct, San Francisco, CA 94124, United States",94124,1.5,1
Private Room in Sunny Bayview Flat,Apartment,"Shafter Avenue, San Francisco, CA 94124, United States",94124,1,1
Apartment - In law unit,Apartment,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1.5,1
Butchertown Compound ~ 1 Bedroom Top Floor Flat,Apartment,"Innes Avenue, San Francisco, CA 94124, United States",94124,1,1
Super Bowl Sensation Stay.,Apartment,"Mendell Street, San Francisco, CA 94124, United States",94124,2,2
#107 Private Room in Hostel-style house in Bayview,House,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
Private bedroom in lovely townhome,House,"E Crystal Cove Terrace, San Francisco, CA 94134, United States",94134,1,1
*Holiday Special*,Apartment,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1,1
"Private entry , nice & comfortable",Apartment,"Jamestown Ave, San Francisco, CA 94124, United States",94124,1,1
Comfortable quiet home,House,"Venus Street, San Francisco, CA 94124, United States",94124,1.5,3
Adjoined Cottage behind SF Victorian,Apartment,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1,1
Great Rm in a Happy Household SF,House,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1.5,1
Large Modern 3 Bedroom Apartment,House,"Gilman Avenue, San Francisco, CA 94124, United States",94124,2,3
Lovely Loft-Southeast Side of SF!,House,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1.5,1
Brand New Townhouse with Ocean View,House,"Coleman Street, San Francisco, CA 94124, United States",94124,1,1
Imagine: Day Space in Artist Studio,Other,"San Francisco, CA 94124, United States",94124,1,1
Private room w/kitchen n full bath,House,"Diana St, San Francisco, CA 94124, United States",94124,1,1
" Knockout Panoramic View, Fireplace",House,"Bridgeview Drive, San Francisco, CA 94124, United States",94124,1,1
Charming Bay Front Studio With Spectacular Views,Loft,"Donahue Street, San Francisco, CA 94124, United States",94124,1,1
Great Rm in A Happy House San Fran,House,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1.5,1
Great Rm In A Happy Household S.F.,House,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1.5,1
Modern Condo w/ private Bed & Bath,Apartment,"3rd Street, San Francisco, CA 94124, United States",94124,2,1
Rossa House,House,"Crescent Street, San Francisco, CA 94110, United States",94110,1,2
1/#6 Bedroon - Shared bathroom,Dorm,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
Beautifully remodeled 2 bedroom!,Apartment,"Latona Street, San Francisco, CA 94124, United States",94124,1,2
Beautiful Brand New 3 Bedroom Townhome,Townhouse,"Friedell Street, San Francisco, CA 94124, United States",94124,2.5,3
Sweet Room with 4K UHD TV and Queen Bed,House,"Scotia Avenue, San Francisco, CA 94124, United States",94124,1,1
#5 Master Suite,Dorm,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
Entire flat w: 2 bedrooms 8 sleeps,House,"Bancroft Avenue, San Francisco, CA 94124, United States",94124,1,2
1/#2 Bedroon - Shared bathroom,Dorm,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
Awesome warehouse sublet for FEB.,House,"Hudson Avenue, San Francisco, CA 94124, United States",94124,2,1
"private bathroom, easy parking",House,"Hudson Avenue, San Francisco, CA 94124, United States",94124,1,1
Equisite with deck  SF views,House,"Innes Avenue, San Francisco, CA 94124, United States",94124,1,3
"Spacious, clean, quiet suite",Other,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
"[SF]Private Bath,fast WiFi,BART shuttle",Townhouse,"Emerald Cove Terrace, San Francisco, CA 94134, United States",94134,1,1
Charming Cottage with Bay View,House,"Ignacio Ave, San Francisco, CA 94124, United States",94124,1,2
Private Room in a house in Bayview!,House,"Carr Street, San Francisco, CA 94124, United States",94124,1,1
Queen Bedroom w/ Best of Everything,House,"Neptune Street, San Francisco, CA 94124, United States",94124,1,1
Two private bedrooms,House,"Bayview Circle, San Francisco, CA 94124, United States",94124,1,1
Epic Views and Easy Parking - master bedroom,House,"Ignacio Avenue, San Francisco, CA 94124, United States",94124,1,1
1Bed/Ba in recently remodeled SF house,House,"Bayview Circle, San Francisco, CA 94124, United States",94124,1,1
#104 Private Room in Hostel-Style House in Bayview,House,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
Private Studio with Private Bath,Apartment,"Topeka Avenue, San Francisco, CA 94124, United States",94124,1,1
#103 Private Room in Hostel-Style House in Bayview,Apartment,"Lane St, San Francisco, CA 94124, United States",94124,1,1
Lg bedroom with pvt. bath,House,"Hillview Court, San Francisco, CA 94124, United States",94124,1,1
Casa de Paz (Apartment),Apartment,"Le Conte Avenue, San Francisco, CA 94124, United States",94124,1,2
Promotion!3br Beautiful Home w/View,House,"Bridgeview Drive, San Francisco, CA 94124, United States",94124,2,3
3 Aspect Condo in Bayview,Apartment,"Revere Avenue, San Francisco, CA 94124, United States",94124,2,1
Private Modern SFH.  Bay Views!,House,"Innes Avenue, San Francisco, CA 94124, United States",94124,1,1
"Beautiful, Eclectic, Cozy Bayview Ranch",Apartment,"Hudson Avenue, San Francisco, CA 94124, United States",94124,1,2
Hudson House,House,"Hudson Avenue, San Francisco, CA 94124, United States",94124,2,4
"Spacious 1BR/BA apart, new kitchen",Apartment,"Revere Avenue, San Francisco, CA 94124, United States",94124,1,1
BEDROOM #3,Dorm,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
"WOW,SAN FRAN! ENJOY SF & NEARBY CITIES,WCREEK,OKLD",Apartment,"Hawes Street, San Francisco, CA 94124, United States",94124,1,1
Private Room in San Francisco Home,Apartment,"Revere Avenue, San Francisco, CA 94124, United States",94124,1,1
Private Own bathroom & Kitchen,House,"Bancroft Avenue, San Francisco, CA 94124, United States",94124,1,1
City views masterbedroom & parking,House,"Innes Ave, San Francisco, CA 94124, United States",94124,1.5,1
Comfy room in house,House,"Mendell Street, San Francisco, CA 94124, United States",94124,1,1
"Two Bedrooms - Hotel Style, Hot Tub",House,"Gilman Ave, San Francisco, CA 94124, United States",94124,1,2
Sunny 1 Bedroom with parking,House,"Vesta Street, San Francisco, CA 94124, United States",94124,1,1
"Stylish, private 3 room suite",Apartment,"Underwood Avenue, San Francisco, CA 94124, United States",94124,1,1
Modern Lower Level,House,"Oakdale Avenue, San Francisco, CA 94124, United States",94124,1,2
"BAY WATER VIEW , PARKING, BREAKFAST",House,"Jakey Ct, San Francisco, CA 94124, United States",94124,1,1
Knockout Panoramic View 1 Bedrm Apt,House,"Bridgeview Drive, San Francisco, CA 94124, United States",94124,1,1
Private Room in Bayview Heights,House,"Le Conte Avenue, San Francisco, CA 94124, United States",94124,1,1
Quiet Room in Our Friendly Home,House,"Robblee Ave, San Francisco, CA 94124, United States",94124,1.5,1
"Large,Modern,Luxury Condo 3BD/2BTH",Apartment,"San Francisco, CA 94124, United States",94124,2,3
Cozy 2 Bedroom Flat in Bayview,Apartment,"Shafter Avenue, San Francisco, CA 94124, United States",94124,2,2
Spacious Sunny Garden In-Law,House,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
The Sweet Spot in San Francisco,House,"Donner Avenue, San Francisco, CA 94124, United States",94124,1,1
Sunny with Spectacular Views,House,"Revere Avenue, San Francisco, CA 94124, United States",94124,1,1
"Bayview Oasis, Quesada Gardens",Apartment,"Quesada Avenue, San Francisco, CA 94124, United States",94124,1,0
Sunny House Near Everywhere For Many SF Travelers!,House,"Hudson Avenue, San Francisco, CA 94124, United States",94124,1,3
Hostel Comfy bedroom apartment near ballpark,Apartment,"Kirkwood Avenue, San Francisco, CA 94124, United States",94124,1,1
Hudson on the Hill 1,Apartment,"Hudson Avenue, San Francisco, CA 94124, United States",94124,1,1
San Francisco Mid Century Modern with Views,House,"Hudson Avenue, San Francisco, CA 94124, United States",94124,1,2
Cozy room in a quaint cottage,House,"Newcomb Avenue, San Francisco, CA 94124, United States",94124,1.5,1
"Unique, Private Retro SF Space",Apartment,"McKinnon Avenue, San Francisco, CA 94124, United States",94124,1,1
"Gorgeous Deck, 2 Beds, Luxury Bath & Free Parking",House,"Underwood Avenue, San Francisco, CA 94124, United States",94124,1,1
"Secluded ""man cave""  ( safe room) ",Cave,"Evans Ave, San Francisco, CA 94124, United States",94124,1,1
Private room in BayView,House,"Jamestown Avenue, San Francisco, CA 94124, United States",94124,1,1
Relaxing and Private Room,House,"San Francisco, CA, United States",,1,1
Master room in a modern condo,Condominium,"Crescent Way, San Francisco, CA 94134, United States",94134,1,1
"Large, Bright Garden studio w/ parking & backyard",House,"Ingalls Street, San Francisco, CA 94124, United States",94124,1,0
Cool 1940's House w/ backyard,House,"Thomas Avenue, San Francisco, CA 94124, United States",94124,1,1
#106 Private Room in Hostel-Style house in Bayview,House,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
Hudson on the Hill 2,Apartment,"Hudson Avenue, San Francisco, CA 94124, United States",94124,1,2
Epic Views and Easy Parking - guest bedroom,House,"Ignacio Avenue, San Francisco, CA 94124, United States",94124,1,1
Private guest suite in family home!,House,"Shafter Avenue, San Francisco, CA 94124, United States",94124,1,1
Cozy in-law apartment in SF home,House,"Gilman Avenue, San Francisco, CA 94124, United States",94124,1,1
Amazing House on a Sunny Hillside,House,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,2
"Lovely house, 3 beds parking garden",House,"Vesta Street, San Francisco, CA 94124, United States",94124,1,2
Home SUITE Home,House,"Boutwell Street, San Francisco, CA 94124, United States",94124,1,0
Spacious two-bedroom in San Francisco Victorian,House,"Palou Avenue, San Francisco, CA 94124, United States",94124,1,2
Comfy homestay style private room near Ball Park,Apartment,"Kirkwood Avenue, San Francisco , CA 94124, United States",94124,1,1
"Easy Access To Game, SF Fun and SFO",Condominium,"Jennings Court, San Francisco, CA 94124, United States",94124,2,1
"Beautiful Balcony, 2 Beds, Kitchen & Free Parking",House,"Underwood Avenue, San Francisco, CA 94124, United States",94124,1,1
Private Suite with Sunny Bedroom,House,"Hollister Avenue, San Francisco, CA 94124, United States",94124,1,1
"3 Rooms, 6 beds, Balcony, Kitchen, Free Parking",House,"Underwood Avenue, San Francisco, CA 94124, United States",94124,1,1
AFFORDABLE LARGE 6 BDR LUXURY HOME,House,"Palou Avenue, San Francisco, CA 94124, United States",94124,3,6
Sprinkles' Oasis,House,"Palou Avenue, San Francisco, CA 94124, United States",94124,1,1
Bedroom #7,House,"Ingerson Avenue, San Francisco, CA 94124, United States",94124,1,1
SuperBowl 50 @ Candelistick Cove!,Apartment,"Crescent Way, San Francisco, CA 94134, United States",94134,2,3
#201 Private Room in Hostel-Style House in Bayview,Apartment,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
Private Lair in Old Gambling Shack,House,"McKinnon Ave, San Francisco, CA 94124, United States",94124,1.5,1
Luxurious Tech Room (Parking & Private Bathroom),Apartment,"Executive Park Boulevard, San Francisco, CA 94134, United States",94134,1,1
Beautifully remodeled apartment!,Apartment,"latona street and bayview street, San Francisco, CA 94124, United States",94124,1,1
Very relaxing and chill atmosphere.,Apartment,"Beatrice Lane, San Francisco, CA 94124, United States",94124,1,1
"Comfy, Spacious, Quiet Room in Bayview",House,"Rebecca Lane, San Francisco, CA 94124, United States",94124,1,1
#101 Private Room in Hostel-Style House in Bayview,House,"Lane Street, San Francisco, CA 94124, United States",94124,1,1
The Albers Room: A Cozy Retreat,House,"Munich Street, San Francisco, CA 94112, United States",94112,1,1
SF studio - private apt close to transport,Apartment,"Girard Street, San Francisco, CA 94134, United States",94134,1,0
Hi Tech Valley Guest Room (Bunk C),Bed & Breakfast,"Leland Avenue, San Francisco, CA 94134, United States",94134,1,1
Comfortable room in a sunny home,House,"Tocoloma Avenue, San Francisco, CA 94134, United States",94134,1,1
The Craft Room: A Cozy Nook,House,"Munich Street, San Francisco, CA 94112, United States",94112,1,1
Private Quarters in Luxury Home,Apartment,"Wheeler Avenue, San Francisco, CA 94134, United States",94134,2,2
 Post-Apocalyptic Cubby Room,House,"Delta St, San Francisco, CA 94134, United States",94134,1,1
Nicole Feurer,Apartment,"San Bruno Avenue, San Francisco, CA 94134, United States",94134,1,1
Private Spacious Apartment in Little Hollywood,Apartment,"Wheeler Avenue, San Francisco, CA 94134, United States",94134,1,1
Beautiful private studio,House,"Wilde Avenue, San Francisco, CA 94134, United States",94134,1,0
Ocean room w view updated Victorian,House,"Campbell Avenue, San Francisco, CA 94134, United States",94134,2,1
Hi Tech Valley Guest Room (Bunk D),Bed & Breakfast,"Leland Avenue, San Francisco, CA 94134, United States",94134,1,1
Guest Room in Renovated Apartment,Apartment,"Wheeler Avenue, San Francisco, CA 94134, United States",94134,1,1
Hi Tech Valley Guest House Bunk A,Bed & Breakfast,"Leland Ave, San Francisco , CA 94134, United States",94134,1,1
Large room for rent,House,"Velasco Avenue, San Francisco, CA 94134, United States",94134,1.5,1
Bay Area Native's San Francisco Room & Garage,House,"Mansell Street, San Francisco, CA 94134, United States",94134,1,1
Hi tech Valley Guest House (Bunk B),Bed & Breakfast,"Leland Ave, San Francisco, CA 94134, United States",94134,1,1
Sunny Spacious Full SF Apartment with Large Yard!,Apartment,"Leland Avenue, San Francisco, CA 94134, United States",94134,1,1
*Peaceful Palace - Private Bedroom*,Apartment,"Birchwood Court, San Francisco, CA 94134, United States",94134,1,1
Charming Room Near SFO Airport,House,"Talbert Street, San Francisco, CA 94134, United States",94134,1,1
SF cottage-easy parking & transport,House,"Girard St, San Francisco, CA 94134, United States",94134,1,0
[B] Private Bedroom 20 Minutes from Downtown SF,House,"San Bruno Avenue, San Francisco, CA 94134, United States",94134,1,1
Luxe SF retreat home w great access to everything!,Condominium,"Megan Drive, San Francisco, CA 94134, United States",94134,2.5,2
Private room for rent with view,Apartment,"Mansell Street, San Francisco, CA 94134, United States",94134,1,1
[C] Private Bedroom and Bath with Backyard Access,House,"San Bruno Avenue, San Francisco, CA 94134, United States",94134,1,1
Post-Apocalyptic Gypsy Room ,House,"Delta St, San Francisco, CA 94134, United States",94134,2,1
[F] Cute Little Studio in SF,House,"San Bruno Avenue, San Francisco, CA 94134, United States",94134,1,0
Room in a sunny SF home by Caltrain,House,"Tucker Avenue, San Francisco, CA 94134, United States",94134,2,1
Amazing City View 4 Bedrooms House,House,"Dwight Street, San Francisco, CA 94134, United States",94134,3,4
Private bedroom + bathroom in house,House,"Holyoke St, San Francisco, CA 94134, United States",94134,1,1
Beautiful room in safe neighborhood,House,"Karen Court, San Francisco, CA 94134, United States",94134,1.5,1
artsy cozy home near great hikes,House,"Dartmouth Street, San Francisco, CA 94134, United States",94134,1,1
"The Secret Garden, Onnie's City Cottage",House,"Dublin Street, San Francisco, CA 94112, United States",94112,2,1
"Off-Street Parking! 2-Bedroom, Sunny, Views, Safe",House,"Tocoloma Avenue, San Francisco, CA 94134, United States",94134,1,2
Spacious Room in Luxury Home,House,"Wheeler Avenue, San Francisco, CA 94134, United States",94134,1,1
"Views, Natural Light & Location",House,"Harkness Avenue, San Francisco, CA 94134, United States",94134,2,3
Master Room in Luxury Apartment,Apartment,"Wheeler Avenue, San Francisco, CA 94134, United States",94134,1,1
Guest suite with garden view,House,"Olmstead Street, San Francisco, CA 94134, United States",94134,1,1
Cute studio with parking! View! Safe Neighborhood,Apartment,"Tocoloma Avenue, San Francisco, CA 94134, United States",94134,1,0
1 bedroom apartment & free  parking,Apartment,"Peninsula Ave, San Francisco, CA 94134, United States",94134,1,1
Private RM (Studio) w/ Private Bath & Kitchenette,Other,"Bowdoin Street, San Francisco, CA 94134, United States",94134,1,1
Super Bowl Spacious 4BR House,House,"Karen Court, San Francisco, CA 94134, United States",94134,2.5,4
Private room with private bathroom.,House,"Dwight Street, San Francisco, CA 94134, United States",94134,1,1
superbowl in san francisco,House,"Santos Street, San Francisco, CA 94134, United States",94134,1,2
SF Room,Apartment,"Broadway, San Francisco, CA 94109, United States",94109,1,1
Bed in shared dorm,Dorm,"Broadway, San Francisco, CA 94109, United States",94109,1,1
Sunny Apartment in Pacific Heights,Apartment,"Clay Street, San Francisco, CA 94109, United States",94109,1,1
Pool+Patio 2bd in Pacific Heights,Apartment,"California Street, San Francisco, CA 94109, United States",94109,1,2
Pac Heights dream flat w/ bay views,Apartment,"Pacific Avenue, San Francisco, CA 94109, United States",94109,1,1
Designer guest house - Pacific Heights,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
Edwardian Style Pacific Heights 1BD,Apartment,"Pacific Avenue, San Francisco, CA 94115, United States",94115,1,1
Charming Studio with Deck and View,Apartment,"Scott Street, San Francisco, CA 94115, United States",94115,1,1
A Musician's Mediterranean Dream,House,"California Street, San Francisco, CA 94115, United States",94115,2,2
Hotel Pac Hgts King Free Car Park#B,Bed & Breakfast,"Union Street, San Francisco, CA 94123, United States",94123,1,1
Real World Flat On Lombard!,House,"San Francisco, CA, United States",,2,2
Prime Location Bright Private Room ,Apartment,"Washington St, San Francisco, CA 94109, United States",94109,,1
Lg br in pacific height,Apartment,"Jackson Street, San Francisco, CA 94115, United States",94115,1,1
LUX Pacific Height 4bed/2bath condo,Condominium,"Green Street, San Francisco, CA 94123, United States",94123,2,4
"3,000 sqft Full home is pac heights",House,"Broadway, San Francisco, CA 94109, United States",94109,2.5,3
Private Pac Heights cottage,Guesthouse,"Vallejo Street, San Francisco, CA 94123, United States",94123,1,1
Pacific Heights - Lafayette Park,Apartment,"Sacramento Street, San Francisco, CA 94109, United States",94109,1,1
Elegant 3 bdrm Pacific Heights Apt,Apartment,"Broadway, San Francisco, CA 94115, United States",94115,2,3
Charmer in Pacific Heights,Apartment,"Sacramento Street, San Francisco, CA 94115, United States",94115,1,1
1 Bedroom Apt in Pacific Heights - Great Location!,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
"2Bed/2Bth, close to public trans",Apartment,"Scott St, San Francisco, CA 94115, United States",94115,2,2
"Oasis to relax, Rooftop views",Apartment,"Fillmore Street, San Francisco, CA 94115, United States",94115,1,1
PacHeights Apt; Sightseer's Dream!,Apartment,"Broadway, San Francisco, CA 94109, United States",94109,1,0
Rooftop terrace overlooking SF,Apartment,"Broderick Street, San Francisco, CA 94115, United States",94115,1,1
Beautiful House in Pacific Heights,House,"Washington Street, San Francisco, CA 94115, United States",94115,1,1
Pacific Hgts Victorian Mansion Flat,Apartment,"Sacramento Street, San Francisco, CA 94115, United States",94115,1,1
Large Private Bedroom in Pacific Heights,Apartment,"Franklin Street, San Francisco, CA 94109, United States",94109,1,1
"QUINTESSENTIAL SF, PAC HEIGHTS EDWARDIAN W/VIEWS!",Apartment,"Sacramento St, San Francisco, CA 94115, United States",94115,1,1
San Francisco Charm in Pac Heights,Apartment,"Jackson St, San Francisco, CA 94115, United States",94115,1,1
Spacious 2Bed2Bath Pac Heights,Apartment,"Clay Street, San Francisco, CA 94109, United States",94109,2,1
"Spacious, sunny private room with walk-in closet!",Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
3600 sqft view home pacific heights,Condominium,"Clay Street, San Francisco, CA 94109, United States",94109,3.5,5
Modern Apt in a Prime Location,Apartment,"Jackson Street, San Francisco, CA 94115, United States",94115,2,2
Modern & Luxorious Pacific Heights Apartment,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
Remodeled Victorian,House,"California Street, San Francisco, CA 94115, United States",94115,3,1
Pacific Heights 3 bedroom home,House,"Steiner St, San Francisco, CA 94115, United States",94115,2.5,3
Entire Apt in Lovely Neighborhood,Apartment,"Sacramento Street, San Francisco, CA 94115, United States",94115,1.5,2
Room in Exclusive Pac Heights Condo,Apartment,"Broadway, San Francisco, CA 94115, United States",94115,1,1
Pacific Heights One Bedroom,House,"San Francisco, CA 94123, United States",94123,1,1
Chic junior 1 bedroom in the Marina,Apartment,"Fillmore Street, San Francisco, CA 94123, United States",94123,1,1
Hotel Pac Hgts Queen Free Car ParkC,Bed & Breakfast,"Union Street, San Francisco, CA 94123, United States",94123,1,0
Large private room in Pac heights apartment.,Apartment,"Webster Street, San Francisco, CA 94115, United States",94115,1,1
Luxury 1BR with view of Golden Gate,Apartment,"Pacific Avenue, San Francisco, CA 94109, United States",94109,1,1
Large sunny 1BR apt in Pacific Height,Apartment,"Buchanan Street, San Francisco, CA 94115, United States",94115,1,1
Perfect Pacific Heights 1BR,Apartment,"San Francisco, CA, United States",,1,1
Pacific Heights Private Garden Unit,Apartment,"Baker Street, San Francisco, CA 94115, United States",94115,1,1
Pristine Pied-a-Terre; Hot Hood!,Apartment,"Webster Street, San Francisco, CA 94123, United States",94123,1,1
Drop Dead Views in Pacific Heights Penthouse,Condominium,"Vallejo Street, San Francisco, CA 94123, United States",94123,1.5,3
Pacific Heights Prime! Family Flat!,Apartment,"Fillmore Street, San Francisco, CA 94115, United States",94115,2.5,5
Room in the Heart of the Marina,Apartment,"Gough Street, San Francisco, CA 94123, United States",94123,1,1
Upscale Private Ensuite Bed & Bath,House,"California Street, San Francisco, CA 94115, United States",94115,1,1
Tourist Studio. Golden Bridge View,Apartment,"Broadway, San Francisco, CA 94118, United States",94118,1,0
Private Room in Luxury Pacific Heights penthouse,Apartment,"Pine Street, San Francisco, CA 94115, United States",94115,1,1
Upscale Private Master Bed & Bath,House,"California Street, San Francisco, CA 94115, United States",94115,1,1
Gorgeous Condo-Parking Included,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
"Large, clean 1 bd Apartment in Pacific Heights",Apartment,"Pacific Avenue, San Francisco, CA 94115, United States",94115,1,1
2 Bed 2 Bath Spacious Pacific Heights Home w/Patio,Condominium,"Presidio Avenue, San Francisco, CA 94115, United States",94115,2,2
"Private Bed/Bath, 3-story Lower Pac Heights Condo",Apartment,"Divisadero Street, San Francisco, CA 94115, United States",94115,3,1
Couch Space with a view,Apartment,"Green Street, San Francisco, CA 94123, United States",94123,1,1
Sunny 1 br in Lower Pac Heights,Apartment,"California Street, San Francisco, CA 94109, United States",94109,1,1
Jackson Court 2,Bed & Breakfast,"Jackson Street, San Francisco, CA 94115, United States",94115,1,0
Spacious studio in Pacific Heights,Apartment,"Clay Street, San Francisco, CA 94115, United States",94115,1,0
Luxurious Pacific Heights Condo,Apartment,"Broadway, San Francisco, CA 94115, United States",94115,3.5,3
Lower Pac Heights Victorian Home,House,"Laguna Street, San Francisco, CA 94115, United States",94115,2.5,3
Huge 2 bed 2 bath Victorian in Amazing Location,Apartment,"Pacific Avenue, San Francisco, CA 94109, United States",94109,2,2
New Lg 1bd Pac Heights with Views,Apartment,"Pacific Avenue, San Francisco, CA 94109, United States",94109,1,1
SUPER BOWL DEAL - Pac. Heights!,Apartment,"Clay Street, San Francisco, CA 94115, United States",94115,2,3
Classic Pacific Heights Victorian,House,"Washington Street, San Francisco, CA 94115, United States",94115,2.5,3
"Large Studio in Great, Quiet Neighborhood",Apartment,"Pacific Avenue, San Francisco, CA 94115, United States",94115,1,1
Jackson Ct Brownstone Mansion B&B,Bed & Breakfast,"Jackson Street, San Francisco, CA 94115, United States",94115,1,1
1 Bedroom - Prime Location - Extra sleeping Area,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
Hotel Pac Hgts 2 Bed Free Car ParkH,Bed & Breakfast,"Union Street, San Francisco, CA 94123, United States",94123,1,1
Second home,Apartment,"Pacific Avenue, San Francisco, CA 94109, United States",94109,1,1
Chic Pacific Heights Jr. Studio PVT,Condominium,"Sacramento Street, San Francisco, CA 94115, United States",94115,1,1
Bedroom with Private Bathroom,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
Beautiful Pac Heights Apartment,Apartment,"Divisadero Street, San Francisco, CA 94115, United States",94115,1,1
Gorgeous Condo - Parking friendly,Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,1
Spacious 1 Bdrm in Pac Heights.,Apartment,"Broadway, San Francisco, CA 94109, United States",94109,1,1
"Sunny, Comfortable, Quiet One Bedroom Apartment",Apartment,"San Francisco, CA, United States",,1,1
PAC Heights apt with gold gate bride views,Apartment,"Buchanan Street, San Francisco, CA 94115, United States",94115,1,1
A Charming Marina Bedroom,House,"Union Street, San Francisco, CA 94123, United States",94123,1,1
"Oasis to relax, Rooftop views",Apartment,"Fillmore Street, San Francisco, CA 94115, United States",94115,1,2
Large Studio in the Center of SF :),Apartment,"California Street, San Francisco, CA 94115, United States",94115,1,0
Old World San Francisco Charm,Apartment,"Jackson Street, San Francisco, CA 94115, United States",94115,1,2
Sophisticated Condo in Pacific Heights,Apartment,"Sacramento Street, San Francisco, CA 94109, United States",94109,1,2
Charming San Francisco Apartment,Apartment,"Pacific Avenue, San Francisco, CA 94115, United States",94115,1,2
