availability_365,availability_30,availability_60,availability_90
304,15,34,59
27,26,27,27
31,0,1,31
276,5,22,41
278,2,2,3
175,25,55,85
300,24,37,37
11,0,0,11
195,0,6,6
23,2,13,23
349,25,55,85
77,0,5,5
20,1,1,20
234,19,49,79
58,0,28,58
214,0,0,0
350,20,45,75
325,10,33,63
327,9,22,52
177,27,57,87
15,5,10,10
47,0,0,0
143,8,32,57
60,13,32,60
129,0,0,0
354,27,57,87
325,5,34,64
54,8,24,54
333,10,28,58
273,1,1,1
325,25,55,80
101,12,23,35
344,17,47,77
341,23,40,70
310,30,34,35
262,7,9,26
64,3,3,3
204,0,16,46
4,2,2,4
251,17,42,68
19,0,0,19
15,0,0,0
333,17,35,65
12,8,12,12
13,6,6,6
3,0,0,0
351,26,46,76
24,23,24,24
75,6,6,6
276,0,29,30
257,4,14,32
351,18,48,78
149,26,56,60
21,8,9,21
152,17,34,62
121,0,0,6
106,11,34,50
6,3,6,6
37,11,20,20
33,4,4,4
13,0,0,13
48,4,18,48
339,17,34,64
167,23,48,78
6,3,3,6
28,8,17,28
259,19,40,55
314,2,9,39
173,24,54,84
348,14,44,74
284,13,40,62
46,11,41,46
343,24,38,68
127,6,36,66
336,11,41,64
40,8,20,31
98,10,29,46
52,0,22,52
151,8,31,61
338,14,39,63
17,0,0,17
70,16,42,70
319,1,31,61
33,3,3,33
32,5,8,8
103,0,0,13
325,10,26,50
63,23,52,63
334,19,40,70
155,12,35,65
13,3,13,13
258,22,52,82
200,5,5,5
319,16,46,76
35,0,4,4
322,0,17,47
241,0,0,0
1,0,1,1
161,13,42,72
91,30,60,90
192,0,9,9
143,8,35,56
71,0,0,0
10,10,10,10
320,3,21,51
364,30,60,90
159,15,45,72
62,0,0,10
46,11,26,46
16,16,16,16
141,7,30,60
287,5,9,18
165,19,45,75
55,13,25,55
326,14,25,51
48,21,21,48
282,6,6,7
63,6,6,6
290,8,27,54
172,22,52,82
270,8,29,43
101,14,41,71
282,4,9,9
258,3,3,18
27,0,0,0
328,17,41,71
53,17,43,53
27,12,12,27
127,14,25,52
39,10,39,39
319,8,28,44
307,22,22,32
339,23,34,64
276,0,0,1
272,8,8,8
77,17,47,77
141,16,46,72
278,14,29,45
288,13,13,13
87,5,28,58
287,12,12,12
312,17,43,67
328,18,42,63
62,0,0,0
350,22,52,75
47,9,22,38
42,8,38,42
23,0,0,23
62,18,32,62
47,7,23,47
126,12,39,65
31,14,14,14
77,16,46,76
225,15,15,15
28,0,28,28
217,8,38,68
333,7,28,58
325,9,20,50
304,0,30,60
73,16,43,73
61,1,31,61
300,6,15,25
336,16,46,76
150,29,59,89
304,8,38,57
95,9,31,45
57,6,27,57
161,6,6,12
279,15,30,46
358,28,58,87
116,5,17,39
343,8,38,68
146,7,19,42
95,0,17,47
164,14,44,74
29,15,16,16
342,17,44,71
66,15,36,66
217,22,52,68
163,27,46,76
342,19,38,67
33,22,29,33
212,1,1,1
22,2,22,22
73,13,43,73
174,29,54,84
303,0,1,28
320,10,15,45
186,3,12,22
120,30,60,90
143,25,55,85
76,22,46,76
144,16,46,72
149,27,57,87
46,4,16,46
61,8,31,61
13,5,5,13
69,18,41,69
44,28,35,44
150,9,39,69
52,9,30,52
122,0,0,0
27,22,27,27
22,16,22,22
131,12,33,59
59,15,35,57
54,0,0,0
70,0,0,0
50,7,20,50
152,17,43,65
32,27,32,32
168,0,9,9
323,10,21,48
323,12,32,58
96,10,25,42
253,0,1,6
41,0,8,8
294,1,9,30
309,12,42,58
64,4,34,64
271,0,30,60
32,0,0,0
66,7,36,66
117,4,32,62
60,6,31,60
358,24,54,84
70,10,37,67
311,0,6,36
89,0,0,0
325,0,20,50
