number_of_reviews,reviews_score_rating,reviews_per_month
11,76,1.49
13,100,2.04
1,20,0.43
4,93,2.07
14,90,0.33
2,,0.27
4,90,2.4
2,90,0.55
76,94,4.32
2,90,1.25
7,83,0.7
2,100,0.12
26,96,3.24
6,90,0.29
9,98,0.72
20,97,2.69
3,80,0.2
34,89,6
1,40,1
21,92,2.29
1,100,0.79
16,94,2.53
125,97,4.31
6,100,0.47
76,94,2.42
224,96,2.96
31,98,2.12
15,89,3.81
10,84,2.8
20,87,5.5
58,92,1.13
16,83,0.47
63,88,4.34
5,88,0.34
5,96,0.39
1,80,0.67
1,,0.64
4,100,0.13
87,96,1.61
83,90,5.04
8,98,1.49
2,100,0.18
6,90,0.59
7,97,1.54
26,92,3.1
184,85,7.55
10,90,2.04
4,100,0.76
9,100,0.28
92,96,2.94
91,95,2.23
7,97,1.24
28,100,2.55
27,91,1.72
4,93,0.22
31,91,0.48
4,85,0.36
11,92,4.65
16,79,3.53
1,100,0.22
138,89,5.97
7,94,2.28
10,78,1.28
173,86,7.08
20,95,2.08
1,97,0.03
1,,0.94
8,98,0.49
1,100,0.31
25,94,1.68
1,100,0.6
11,82,9.17
49,85,3.39
161,97,3.87
17,96,0.61
20,79,4.8
76,87,3.26
3,93,0.59
45,87,3.07
22,84,1.54
8,90,1.05
5,88,0.39
70,87,3.85
56,86,3.92
23,88,0.78
9,84,1.58
1,100,0.14
6,90,0.86
12,95,4.8
1,80,0.48
24,98,0.74
10,100,0.29
21,77,3.66
1,100,0.65
3,87,0.68
44,97,0.78
2,90,0.08
17,92,1.2
39,96,3.69
34,93,4.36
40,86,1.75
9,100,0.5
31,92,3.92
2,100,0.36
10,89,0.74
3,100,0.45
28,93,0.7
90,93,1.34
24,98,0.81
25,98,9.37
1,100,0.42
4,100,0.26
5,100,1.38
77,99,2.58
8,95,0.47
1,,0.42
16,93,1.76
35,98,1.16
40,92,1.27
53,98,2.99
2,60,0.3
5,84,0.82
7,60,1.57
5,84,0.17
3,100,0.15
2,80,0.48
3,90,1.05
4,75,1.2
23,90,1.85
1,80,0.05
2,50,2
3,87,1.55
3,90,0.78
3,93,1.27
10,90,2.5
6,93,1.96
11,100,2.89
89,99,1.7
10,94,2.83
47,96,4.86
38,99,2.13
12,89,3.3
2,90,1.67
5,85,0.31
23,93,1.86
2,90,0.15
3,100,0.82
4,100,4
16,95,2.29
1,,0.04
56,95,4.86
15,93,1.03
12,92,0.32
50,96,3.9
4,95,1.43
7,100,0.58
13,89,1.43
4,95,0.15
42,93,2.13
104,90,4.59
79,99,2.44
15,74,0.53
131,93,5.48
98,93,2.36
5,84,1.34
5,100,0.35
2,100,0.22
2,100,0.33
3,100,1.02
14,100,0.33
4,100,0.88
20,99,6.98
7,97,0.17
107,97,1.55
29,100,2.86
6,100,1.94
4,90,0.32
6,93,1.22
73,92,1.66
19,97,1.88
28,96,0.83
269,95,6.52
7,100,0.29
4,100,0.23
9,100,1.99
2,90,0.21
39,87,2.62
5,100,0.37
34,85,1.03
34,98,1.23
26,99,0.4
1,80,0.38
4,93,0.1
8,100,0.51
127,96,1.85
2,100,1.15
7,97,2.96
35,99,0.63
29,94,6.44
11,96,0.67
1,,0.51
6,93,0.38
314,95,4.89
29,97,2.46
4,90,0.82
2,100,0.32
2,100,0.81
125,94,6.15
3,100,0.91
24,97,0.76
22,93,0.55
8,100,3.43
11,96,3.88
5,100,0.61
6,100,0.18
90,94,1.4
6,100,1.07
3,100,0.83
9,98,0.64
34,98,1.33
41,92,2.78
5,100,0.32
2,100,0.61
11,98,2.6
44,97,3.74
10,94,0.61
3,100,2.81
3,,0.21
10,90,1.07
1,,0.18
61,86,1.26
94,95,2.85
102,96,1.61
1,,0.73
8,93,0.38
32,99,1.17
126,90,3.32
34,98,1.95
24,86,2.63
15,89,0.97
6,100,1.67
1,60,0.04
44,95,2.61
13,98,1.16
1,100,0.04
10,82,0.6
8,97,0.18
16,94,0.37
8,93,0.63
2,90,0.29
1,100,0.15
5,95,0.15
12,95,0.76
3,100,0.61
8,100,0.94
1,100,0.25
5,96,0.16
4,95,2.22
34,96,3.37
18,98,3.83
2,80,0.11
9,98,0.48
9,95,0.21
44,96,4.68
70,98,1.56
5,100,0.27
2,100,0.55
2,90,0.4
8,98,0.2
42,98,4.16
16,93,0.5
20,100,1.5
16,99,4.03
2,60,0.12
40,98,2.17
7,100,0.52
1,97,0.02
99,92,2.18
54,91,2.33
3,100,1.03
4,100,1.1
20,98,0.7
17,94,2.63
38,98,1.27
91,94,4.6
1,100,0.27
1,100,0.32
18,92,0.59
3,93,0.76
37,98,1.13
115,98,3.09
6,100,0.55
8,85,0.28
12,100,2.38
7,91,0.43
49,96,1.02
22,97,0.87
7,93,0.99
13,88,0.42
18,98,2.34
10,93,1.66
12,100,1.66
1,20,0.06
1,60,0.51
3,100,1.27
57,99,4.02
137,98,3.58
6,100,1.71
4,100,0.81
2,100,0.09
3,93,0.11
7,91,1.21
57,98,1.72
6,93,0.39
9,70,0.24
24,93,0.45
14,94,0.31
41,98,1
8,95,0.43
6,90,2.31
5,96,0.2
49,97,1.54
39,96,0.57
14,97,2.06
3,100,0.58
36,92,2.08
5,68,0.77
32,96,1.05
18,97,0.72
19,93,0.36
18,97,0.74
7,100,0.17
